choice,confidence,rt,question,type,set,SID
0,51,7.028,7,2AFC,1,3
0,100,6.463,7,2AFC,1,4
0,51,4.368,7,2AFC,1,5
0,84,17.709,7,2AFC,1,6
1,66,6.097,7,2AFC,1,7
0,83,6.066,7,2AFC,1,8
0,73,1.988,7,2AFC,1,9
0,100,5.152,7,2AFC,1,10
1,51,8.621,7,2AFC,1,11
0,56,7.688,7,2AFC,1,12
0,55,7.593,7,2AFC,1,13
0,84,15.98,7,2AFC,1,14
1,83,14.305,7,2AFC,1,15
1,63,8.999,7,2AFC,1,16
0,51,5.389,7,2AFC,1,17
0,55,55.935,7,2AFC,1,18
1,69,21.697,7,2AFC,1,19
1,75,8.48,7,2AFC,1,20
0,93,5.154,7,2AFC,1,21
0,100,7.35,7,2AFC,1,22
1,100,23.57,7,2AFC,1,23
1,100,33.492,7,2AFC,1,24
1,100,7.063,7,2AFC,1,25
1,100,159.614,7,2AFC,1,26
1,94,5.7,7,2AFC,1,27
1,69,6.035,7,2AFC,1,28
0,52,5.415,7,2AFC,1,29
0,71,5.82,7,2AFC,1,30
0,72,7.345,7,2AFC,1,31
0,51,4.351,7,2AFC,1,32
1,56,11.613,7,2AFC,1,33
1,51,4.601,7,2AFC,1,34
0,84,7.739,7,2AFC,1,35
1,60,9.211,7,2AFC,1,36
0,75,6.886,7,2AFC,1,37
0,76,37.43,7,2AFC,1,38
0,60,3.186,7,2AFC,1,39
0,51,8.197,7,2AFC,1,40
1,89,5.488,7,2AFC,1,41
0,100,9.541,7,2AFC,1,42
1,51,7.406,7,2AFC,1,43
0,76,51.92,7,2AFC,1,44
1,73,13.175,7,2AFC,1,45
0,60,17.514,7,2AFC,1,46
1,100,6.818,7,2AFC,1,47
0,84,14.147,7,2AFC,1,48
1,80,10.094,7,2AFC,1,49
1,100,4.458,7,2AFC,1,50
0,82,65.532,7,2AFC,1,51
1,70,38.653,7,2AFC,1,52
0,95,7.088,7,2AFC,1,53
1,75,8.983,7,2AFC,1,54
1,60,8.006,7,2AFC,1,55
0,87,11.075,7,2AFC,1,56
0,53,7.919,7,2AFC,1,57
1,63,5.811,7,2AFC,1,58
0,56,7.749,8,2AFC,1,1
0,57,5.867,8,2AFC,1,2
1,78,6.686,8,2AFC,1,3
1,51,5.627,8,2AFC,1,4
0,55,5.358,8,2AFC,1,5
0,56,12.606,8,2AFC,1,6
1,69,5.57,8,2AFC,1,7
0,95,12.06,8,2AFC,1,8
0,83,15.148,8,2AFC,1,9
0,58,3.875,8,2AFC,1,10
0,51,5.098,8,2AFC,1,11
1,100,5.459,8,2AFC,1,12
1,90,9.147,8,2AFC,1,13
1,51,22.914,8,2AFC,1,14
0,100,8.177,8,2AFC,1,15
0,66,14.664,8,2AFC,1,16
0,51,6.579,8,2AFC,1,17
0,55,15.828,8,2AFC,1,18
1,73,16.394,8,2AFC,1,19
0,100,15.197,8,2AFC,1,20
1,100,39.981,8,2AFC,1,21
1,100,5.84,8,2AFC,1,22
1,100,21.737,8,2AFC,1,23
1,100,67.89,8,2AFC,1,24
0,98,5.276,8,2AFC,1,25
1,100,17.711,8,2AFC,1,26
0,73,5.124,8,2AFC,1,27
0,78,7.639,8,2AFC,1,28
1,51,5.506,8,2AFC,1,29
0,100,4.982,8,2AFC,1,30
1,100,7.454,8,2AFC,1,31
1,61,7.788,8,2AFC,1,32
0,64,8.514,8,2AFC,1,33
1,100,5.938,8,2AFC,1,34
1,100,4.4,8,2AFC,1,35
0,51,16.658,8,2AFC,1,36
1,60,13.648,8,2AFC,1,37
1,72,24.58,8,2AFC,1,38
1,56,8.353,8,2AFC,1,39
0,51,5.987,8,2AFC,1,40
1,60,5.142,8,2AFC,1,41
1,54,5.716,8,2AFC,1,42
1,51,6.718,8,2AFC,1,43
1,94,7.302,8,2AFC,1,44
0,52,10.529,8,2AFC,1,45
0,51,6.978,8,2AFC,1,46
1,100,38.486,8,2AFC,1,47
0,77,5.153,8,2AFC,1,48
0,98,5.6,8,2AFC,1,49
1,68,4.59,8,2AFC,1,50
1,100,6.202,8,2AFC,1,51
0,100,38.913,8,2AFC,1,52
1,90,8.499,8,2AFC,1,53
1,87,4.4,8,2AFC,1,54
0,60,11.83,8,2AFC,1,55
1,100,5.906,8,2AFC,1,56
0,75,6.966,8,2AFC,1,57
1,65,7.049,8,2AFC,1,58
0,76,4.148,9,2AFC,1,1
1,69,5.989,9,2AFC,1,2
1,100,4.196,9,2AFC,1,3
1,57,5.625,9,2AFC,1,4
1,61,6.134,9,2AFC,1,5
1,57,8.746,9,2AFC,1,6
1,69,6.771,9,2AFC,1,7
1,69,5.044,9,2AFC,1,8
1,78,5.803,9,2AFC,1,9
1,91,4.274,9,2AFC,1,10
0,51,7.075,9,2AFC,1,11
1,100,4.28,9,2AFC,1,12
1,55,3.817,9,2AFC,1,13
0,72,20.515,9,2AFC,1,14
1,54,7.444,9,2AFC,1,15
0,100,12.05,9,2AFC,1,16
0,51,4.597,9,2AFC,1,17
1,72,8.618,9,2AFC,1,18
1,59,33.953,9,2AFC,1,19
1,85,6.383,9,2AFC,1,20
1,59,4.427,9,2AFC,1,21
1,100,4.749,9,2AFC,1,22
1,100,15.489,9,2AFC,1,23
1,100,37.363,9,2AFC,1,24
0,100,4.955,9,2AFC,1,25
1,100,73.975,9,2AFC,1,26
1,100,9.465,9,2AFC,1,27
0,60,7.097,9,2AFC,1,28
1,66,4.251,9,2AFC,1,29
1,76,6.5,9,2AFC,1,30
1,100,3.891,9,2AFC,1,31
1,51,6.951,9,2AFC,1,32
1,71,4.837,9,2AFC,1,33
1,51,3.546,9,2AFC,1,34
1,83,4.854,9,2AFC,1,35
0,51,4.96,9,2AFC,1,36
1,90,5.429,9,2AFC,1,37
1,96,40.455,9,2AFC,1,38
0,58,9.261,9,2AFC,1,39
0,51,7.091,9,2AFC,1,40
0,87,6.654,9,2AFC,1,41
1,68,8.988,9,2AFC,1,42
1,60,5.913,9,2AFC,1,43
1,75,11.876,9,2AFC,1,44
1,79,8.437,9,2AFC,1,45
1,100,4.663,9,2AFC,1,46
1,66,32.515,9,2AFC,1,47
0,52,8.933,9,2AFC,1,48
0,100,12.501,9,2AFC,1,49
0,100,8.722,9,2AFC,1,50
1,100,3.292,9,2AFC,1,51
1,100,8.808,9,2AFC,1,52
1,95,12.068,9,2AFC,1,53
0,52,4.486,9,2AFC,1,54
1,90,8.42,9,2AFC,1,55
0,100,5.441,9,2AFC,1,56
1,71,9.943,9,2AFC,1,57
0,61,4.487,9,2AFC,1,58
0,75,3.765,10,2AFC,1,1
1,68,4.194,10,2AFC,1,2
0,91,20.491,10,2AFC,1,3
1,84,5.597,10,2AFC,1,4
1,74,14.608,10,2AFC,1,5
0,55,23.237,10,2AFC,1,6
1,63,5.269,10,2AFC,1,7
1,88,11.033,10,2AFC,1,8
1,78,32.966,10,2AFC,1,9
1,100,4.161,10,2AFC,1,10
1,57,7.586,10,2AFC,1,11
0,100,4.196,10,2AFC,1,12
0,71,8.508,10,2AFC,1,13
0,80,13.511,10,2AFC,1,14
1,55,7.301,10,2AFC,1,15
0,70,8.565,10,2AFC,1,16
1,92,6.706,10,2AFC,1,17
0,70,29.96,10,2AFC,1,18
0,70,15.178,10,2AFC,1,19
1,88,11.201,10,2AFC,1,20
0,100,11.053,10,2AFC,1,21
1,60,32.337,10,2AFC,1,22
